category
Advertising and marketing
Maintenance and repairs
Telephone
Electricity Bill
ShowRoom Rent
Taxes
Salaries and other compensation
Medical Expense
Employee benefit programs
books and magazine subsription
Insurance
Utilies
website and software expenses
Entertainmment
Business meals and travel expense
Interest payment and bank fees

























